"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
66.5358,50.2642,81,151,755,188,202,66.5358,66.5358,2,0.8,
66.5358,48.5597,48.5,152,760,189,203,66.5358,66.5358,2,0.8,
66.5358,46.7123,58.5,153,765,191,204,66.5358,41.8893,2,0.8,
66.5358,46.7123,59,154,770,192,206,66.5358,41.8893,2,0.8,
66.5358,39.4283,54,155,775,193,207,66.5358,41.8893,1,0.8,
66.5358,41.8893,38.5,156,780,194,208,66.5358,41.8893,2,0.8,
66.5358,47.6588,33.5,157,785,196,209,66.5358,41.8893,2,0.8,
66.5358,49.576,53.5,158,790,197,211,66.5358,41.8893,2,0.8,
66.5358,47.8899,38.5,159,795,198,212,66.5358,41.8893,2,0.8,
66.5358,43.8029,51.5,160,800,199,213,66.5358,41.8893,2,0.8,
66.5358,41.8893,35.5,161,805,201,214,66.5358,41.8893,2,0.8,
66.5358,39.9758,37,162,810,202,216,66.5358,41.8893,2,0.8,
66.5358,39.9758,41.5,163,815,203,217,66.5358,41.8893,2,0.8,
66.5358,38.0547,36,164,820,204,218,66.5358,41.8893,1,0.8,
66.5358,46.3577,33,165,825,206,219,66.5358,41.8893,1,0.8,
66.5358,39.9758,26,166,830,207,221,66.5358,41.8893,2,0.8,
66.5358,38.0547,34.5,167,835,208,222,66.5358,41.8893,2,0.8,
66.5358,34.2026,36.5,168,840,209,223,66.5358,41.8893,2,0.8,
66.5358,32.5708,42,169,845,211,224,66.5358,41.8893,2,0.8,
66.5358,31.0286,58,170,850,212,226,66.5358,41.8893,1,0.8,
66.5358,31.0286,32,171,855,213,227,66.5358,41.8893,2,0.8,
66.5358,29.6561,19,172,860,214,228,66.5358,41.8893,1,0.8,
66.5358,34.5072,30,173,865,216,229,66.5358,41.8893,2,0.8,
66.5358,34.5072,48.5,174,870,217,231,66.5358,17.2429,1,0.8,
66.5358,33.5698,33.5,175,875,218,232,30.8836,17.2429,1,0.35,
66.5358,33.5698,33,176,880,219,233,30.8836,17.2429,1,0.35,
66.5358,34.5072,45,177,885,221,234,30.8836,17.2429,2,0.35,
66.5358,33.5698,45.5,178,890,222,236,30.8836,17.2429,1,0.35,
66.5358,34.5072,51.5,179,895,223,237,30.8836,17.2429,1,0.35,
66.5358,34.5072,49,180,900,224,238,30.8836,17.2429,2,0.35,
66.5358,30.126,37,181,905,226,239,30.8836,17.2429,2,0.35,
66.5358,20.968,7,182,910,227,241,30.8836,17.2429,1,0.35,
66.5358,22.0329,19,183,915,228,242,30.8836,17.2429,1,0.35,
66.5358,22.0329,23,184,920,229,243,30.8836,17.2429,1,0.35,
66.5358,22.0329,28,185,925,231,244,30.8836,17.2429,1,0.35,
66.5358,22.8047,40,186,930,232,246,30.8836,17.2429,2,0.35,
66.5358,31.0951,22.5,187,935,233,247,30.8836,17.2429,1,0.35,
66.5358,31.7581,30,188,940,234,248,30.8836,17.2429,2,0.35,
66.5358,31.0951,15,189,945,236,249,30.8836,17.2429,1,0.35,
66.5358,31.0951,33,190,950,237,251,30.8836,17.2429,1,0.35,
66.5358,31.0951,28.5,191,955,238,252,30.8836,17.2429,1,0.35,
66.5358,31.0951,30,192,960,239,253,30.8836,17.2429,1,0.35,
66.5358,31.0951,13.5,193,965,241,254,30.8836,17.2429,1,0.35,
66.5358,31.0951,37.5,194,970,242,256,30.8836,17.2429,1,0.35,
66.5358,31.0951,36,195,975,243,257,30.8836,30.8836,1,0.35,
66.5358,31.0951,35,196,980,244,258,30.8836,30.8836,2,0.35,
66.5358,22.0329,42,197,985,246,259,30.8836,30.8836,1,0.35,
66.5358,21.8706,26.5,198,990,247,261,30.8836,30.8836,1,0.35,
66.5358,23.5086,32.5,199,995,248,262,30.8836,30.8836,1,0.35,
66.5358,25.2493,38.5,200,1000,249,263,30.8836,30.8836,2,0.35,
66.5358,23.5086,36.5,201,1005,251,264,30.8836,30.8836,1,0.35,
66.5358,23.3753,24.5,202,1010,252,266,30.8836,30.8836,1,0.35,
66.5358,32.5708,29.5,203,1015,253,267,30.8836,30.8836,1,0.35,
66.5358,34.2026,31.5,204,1020,254,268,30.8836,30.8836,2,0.35,
66.5358,32.3287,24,205,1025,256,269,30.8836,30.8836,1,0.35,
66.5358,32.3287,20,206,1030,257,271,30.8836,30.8836,2,0.35,
66.5358,35.7663,34,207,1035,258,272,30.8836,30.8836,1,0.35,
66.5358,38.6135,42.5,208,1040,259,273,30.8836,30.8836,1,0.35,
66.5358,38.6135,34.5,209,1045,261,274,30.8836,30.8836,1,0.35,
66.5358,40.0892,31,210,1050,262,276,30.8836,30.8836,2,0.35,
66.5358,38.763,40,211,1055,263,277,30.8836,30.8836,2,0.35,
66.5358,37.242,26.5,212,1060,264,278,30.8836,30.8836,1,0.35,
66.5358,38.763,37,213,1065,266,279,30.8836,30.8836,1,0.35,
66.5358,40.7911,27,214,1070,267,281,30.8836,66.5358,1,0.35,
66.5358,40.7911,24.5,215,1075,268,282,30.8836,66.5358,2,0.35,
66.5358,40.7911,24,216,1080,269,283,30.8836,66.5358,1,0.35,
66.5358,40.7911,34.5,217,1085,271,284,30.8836,66.5358,1,0.35,
30.8836,40.7911,50,218,1090,272,286,30.8836,66.5358,1,0.35,
30.8836,40.7911,37,219,1095,273,287,30.8836,66.5358,1,0.35,
30.8836,43.6383,29,220,1100,274,288,30.8836,66.5358,1,0.35,
30.8836,43.6383,42,221,1105,276,289,30.8836,66.5358,1,0.35,
30.8836,43.6383,42,222,1110,277,291,30.8836,66.5358,2,0.35,
30.8836,40.0892,31,223,1115,278,292,30.8836,66.5358,2,0.35,
30.8836,40.6682,56,224,1120,279,293,30.8836,66.5358,1,0.35,
30.8836,41.8893,55,225,1125,281,294,30.8836,66.5358,1,0.35,
30.8836,41.8893,60,226,1130,282,296,30.8836,66.5358,2,0.35,
30.8836,40.0892,57,227,1135,283,297,30.8836,66.5358,2,0.35,
30.8836,38.6135,58.5,228,1140,284,298,30.8836,66.5358,1,0.35,
30.8836,40.0892,56,229,1145,286,299,30.8836,66.5358,1,0.35,
30.8836,39.6127,45,230,1150,287,301,30.8836,66.5358,2,0.35,
30.8836,39.6127,48,231,1155,288,302,30.8836,30.8836,2,0.35,
30.8836,36.889,24,232,1160,289,303,30.8836,30.8836,1,0.35,
30.8836,37.1858,22,233,1165,291,304,30.8836,30.8836,2,0.35,
30.8836,37.1858,33,234,1170,292,306,30.8836,30.8836,2,0.35,
30.8836,36.3185,38.5,235,1175,293,307,30.8836,30.8836,1,0.35,
30.8836,36.3185,49,236,1180,294,308,30.8836,30.8836,2,0.35,
30.8836,36.3185,51,237,1185,296,309,30.8836,30.8836,1,0.35,
30.8836,37.1858,37.5,238,1190,297,311,30.8836,30.8836,1,0.35,
30.8836,39.7615,21.5,239,1195,298,312,30.8836,30.8836,2,0.35,
30.8836,39.7615,39.5,240,1200,299,313,30.8836,30.8836,1,0.35,
30.8836,41.2401,,241,,301,314,30.8836,,1,0.35,
30.8836,41.4957,,242,,302,316,30.8836,,1,0.35,
30.8836,41.8893,,243,,303,317,30.8836,,2,0.35,
30.8836,41.4957,,244,,304,318,30.8836,,1,0.35,
30.8836,41.4957,,245,,306,319,30.8836,,1,0.35,
30.8836,41.8563,,246,,307,321,30.8836,,1,0.35,
30.8836,41.8563,,247,,308,322,30.8836,,2,0.35,
30.8836,41.6068,,248,,309,323,30.8836,,2,0.35,
30.8836,40.891,,249,,311,324,30.8836,,1,0.35,
30.8836,40.891,,250,,312,326,30.8836,,1,0.35,
30.8836,40.891,,251,,313,327,30.8836,,1,0.35,
30.8836,41.5733,,252,,314,328,30.8836,,2,0.35,
30.8836,40.6338,,253,,316,329,30.8836,,1,0.35,
30.8836,40.7268,,254,,317,331,30.8836,,2,0.35,
30.8836,39.4945,,255,,318,332,30.8836,,1,0.35,
30.8836,39.4945,,256,,319,333,30.8836,,1,0.35,
30.8836,40.3191,,257,,321,334,30.8836,,2,0.35,
30.8836,40.3191,,258,,322,336,30.8836,,1,0.35,
30.8836,41.8893,,259,,323,337,30.8836,,1,0.35,
