"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
-70.7273,-44.2172,,311,,388,402,-52.7627,,2,0.65,
-70.7273,-44.2172,,312,,389,403,-52.7627,,2,0.65,
-70.7273,-44.2172,,313,,391,404,-52.7627,,2,0.65,
-70.7273,-45.4068,,314,,392,406,-52.7627,,2,0.65,
-70.7273,-45.4068,,315,,393,407,-52.7627,,1,0.65,
-70.7273,-46.3058,,316,,394,408,-52.7627,,2,0.65,
-70.7273,-46.3058,,317,,396,409,-52.7627,,2,0.65,
-70.7273,-45.4068,,318,,397,411,-52.7627,,1,0.65,
-70.7273,-46.3058,,319,,398,412,-52.7627,,2,0.65,
-70.7273,-46.3058,,320,,399,413,-52.7627,,2,0.65,
-70.7273,-46.3058,,321,,401,414,-52.7627,,2,0.65,
-70.7273,-53.8496,,322,,402,416,-52.7627,,2,0.65,
-70.7273,-53.8496,,323,,403,417,-52.7627,,2,0.65,
-52.7627,-53.8496,,324,,404,418,-52.7627,,2,0.65,
-52.7627,-55.445,,325,,406,419,-52.7627,,2,0.65,
-52.7627,-55.445,,326,,407,421,-52.7627,,2,0.65,
-52.7627,-55.445,,327,,408,422,-52.7627,,2,0.65,
-52.7627,-55.445,,328,,409,423,-52.7627,,2,0.65,
-52.7627,-54.1397,,329,,411,424,-52.7627,,2,0.65,
-52.7627,-52.881,,330,,412,426,-52.7627,,2,0.65,
-52.7627,-52.9353,,331,,413,427,-52.7627,,2,0.65,
-52.7627,-52.1444,,332,,414,428,-52.7627,,1,0.65,
-52.7627,-52.881,,333,,416,429,-52.7627,,2,0.65,
-52.7627,-52.9353,,334,,417,431,-52.7627,,1,0.65,
-52.7627,-46.1692,,335,,418,432,-52.7627,,2,0.65,
-52.7627,-46.1692,,336,,419,433,-52.7627,,2,0.65,
-52.7627,-47.0851,,337,,421,434,-52.7627,,2,0.65,
-52.7627,-46.1692,,338,,422,436,-52.7627,,2,0.65,
-52.7627,-47.0851,,339,,423,437,-52.7627,,2,0.65,
-52.7627,-47.0851,,340,,424,438,-52.7627,,2,0.65,
-52.7627,-47.8685,,341,,426,439,-52.7627,,1,0.65,
-52.7627,-47.0851,,342,,427,441,-52.7627,,2,0.65,
-52.7627,-47.8685,,343,,428,442,-52.7627,,2,0.65,
-52.7627,-47.0851,,344,,429,443,-52.7627,,2,0.65,
-52.7627,-48.1898,,345,,431,444,-52.7627,,1,0.65,
-52.7627,-48.1898,,346,,432,446,-52.7627,,2,0.65,
-52.7627,-48.8791,,347,,433,447,-52.7627,,2,0.65,
-52.7627,-49.436,,348,,434,448,-52.7627,,2,0.65,
-52.7627,-50.6427,,349,,436,449,-52.7627,,2,0.65,
-52.7627,-50.6427,,350,,437,451,-61.745,,2,0.5,
