"omCrit","estCrit","obsCrit","trial","OvTrial","wind","CovOmCrit","OvOmCrit",
-101.4581,-108,-80.5,122,610,166,-101.4581,-101.4581,
-101.4581,-97.7399,-66.5,123,615,167,-101.4581,-101.4581,
-101.4581,-97.7399,-73,124,620,168,-101.4581,-101.4581,
-101.4581,-97.7399,-80.5,125,625,169,-101.4581,-101.4581,
-101.4581,-100.7066,-78,126,630,171,-101.4581,-101.4581,
-101.4581,-101.1939,-83.5,127,635,172,-101.4581,-101.4581,
-101.4581,-100.9479,-77.5,128,640,173,-101.4581,-101.4581,
-101.4581,-100.9479,-78.5,129,645,174,-101.4581,-101.4581,
-101.4581,-98.7621,-73.5,130,650,176,-101.4581,-101.4581,
-101.4581,-100.423,-73,131,655,177,-101.4581,-101.4581,
-101.4581,-99.7853,-76,132,660,178,-101.4581,-101.4581,
-101.4581,-99.106,-75.5,133,665,179,-101.4581,-101.4581,
-101.4581,-98.4187,-73.5,134,670,181,-101.4581,-101.4581,
-101.4581,-97.7399,-74,135,675,182,-101.4581,-101.4581,
-101.4581,-97.0776,-76.5,136,680,183,-101.4581,-59.3573,
-101.4581,-98.7621,-66,137,685,184,-101.4581,-59.3573,
-101.4581,-98.2478,-63,138,690,186,-101.4581,-59.3573,
-101.4581,-97.7399,-63.5,139,695,187,-101.4581,-59.3573,
-101.4581,-95.2185,-54,140,700,188,-101.4581,-59.3573,
-101.4581,-95.2185,-66.5,141,705,189,-101.4581,-59.3573,
-101.4581,-97.2414,-68.5,142,710,191,-101.4581,-59.3573,
-101.4581,-96.754,-63.5,143,715,192,-101.4581,-59.3573,
-101.4581,-96.2788,-57,144,720,193,-101.4581,-59.3573,
-101.4581,-95.816,-59,145,725,194,-101.4581,-59.3573,
-101.4581,-95.3658,-55,146,730,196,-101.4581,-59.3573,
-101.4581,-95.3658,-60.5,147,735,197,-101.4581,-59.3573,
-101.4581,-94.928,-64.5,148,740,198,-101.4581,-59.3573,
-101.4581,-94.5022,-61,149,745,199,-59.3573,-59.3573,
-101.4581,-94.5022,-65.5,150,750,201,-59.3573,-59.3573,
-101.4581,-94.5022,-58,151,755,202,-59.3573,-59.3573,
-101.4581,-94.5022,-48,152,760,203,-59.3573,-59.3573,
-101.4581,-94.0882,-45.5,153,765,204,-59.3573,-59.3573,
-101.4581,-94.0882,-31,154,770,206,-59.3573,-59.3573,
-101.4581,-91.1469,-40,155,775,207,-59.3573,-59.3573,
-101.4581,-91.1469,-34.5,156,780,208,-59.3573,-59.3573,
-101.4581,-91.1117,-35.5,157,785,209,-59.3573,-71.0078,
-101.4581,-91.1117,-45,158,790,211,-59.3573,-71.0078,
-101.4581,-91.5761,-65,159,795,212,-59.3573,-71.0078,
-101.4581,-91.5761,-70,160,800,213,-59.3573,-71.0078,
-101.4581,-87.1746,-69,161,805,214,-59.3573,-71.0078,
-101.4581,-87.1746,-70,162,810,216,-59.3573,-71.0078,
-101.4581,-87.1746,-65,163,815,217,-59.3573,-71.0078,
-101.4581,-87.6968,-66.5,164,820,218,-59.3573,-71.0078,
-101.4581,-79.576,-67,165,825,219,-59.3573,-71.0078,
-101.4581,-80.1681,-59.5,166,830,221,-59.3573,-71.0078,
-101.4581,-80.1681,-68.5,167,835,222,-59.3573,-71.0078,
-101.4581,-80.1681,-68,168,840,223,-59.3573,-71.0078,
-101.4581,-80.1681,-71.5,169,845,224,-59.3573,-71.0078,
-101.4581,-80.1681,-61.5,170,850,226,-59.3573,-71.0078,
-101.4581,-80.1681,-67.5,171,855,227,-59.3573,-71.0078,
-101.4581,-80.1681,-52,172,860,228,-59.3573,-71.0078,
-101.4581,-80.1681,-52.5,173,865,229,-59.3573,-71.0078,
-101.4581,-80.1681,-48,174,870,231,-59.3573,-71.0078,
-101.4581,-80.1681,-56,175,875,232,-59.3573,-71.0078,
-101.4581,-80.1681,-54.5,176,880,233,-59.3573,-71.0078,
-101.4581,-80.1681,-61.5,177,885,234,-59.3573,-71.0078,
-101.4581,-80.1681,-53.5,178,890,236,-59.3573,-71.0078,
-101.4581,-80.1681,-60,179,895,237,-59.3573,-89.8076,
-101.4581,-80.1681,-60,180,900,238,-59.3573,-89.8076,
-101.4581,-80.1681,-65.5,181,905,239,-59.3573,-89.8076,
-101.4581,-80.1681,-75,182,910,241,-59.3573,-89.8076,
-101.4581,-80.1681,-82.5,183,915,242,-59.3573,-89.8076,
-101.4581,-80.1681,-76.5,184,920,243,-59.3573,-89.8076,
-101.4581,-80.1681,-78.5,185,925,244,-59.3573,-89.8076,
-59.3573,-80.1681,-82.5,186,930,246,-59.3573,-89.8076,
-59.3573,-80.1681,-77.5,187,935,247,-59.3573,-89.8076,
-59.3573,-80.1681,-71,188,940,248,-59.3573,-89.8076,
-59.3573,-80.1681,-74.5,189,945,249,-59.3573,-89.8076,
-59.3573,-80.1681,-73,190,950,251,-59.3573,-89.8076,
-59.3573,-80.1681,-82,191,955,252,-59.3573,-89.8076,
-59.3573,-80.1681,-75,192,960,253,-59.3573,-89.8076,
-59.3573,-80.1681,-72,193,965,254,-59.3573,-89.8076,
-59.3573,-69.9133,-80,194,970,256,-59.3573,-89.8076,
-59.3573,-69.9133,-73.5,195,975,257,-59.3573,-89.8076,
-59.3573,-71.1786,-60,196,980,258,-59.3573,-89.8076,
-59.3573,-65.2442,-67,197,985,259,-59.3573,-89.8076,
-59.3573,-69.4855,-66.5,198,990,261,-59.3573,-89.8076,
-59.3573,-71.2331,-71,199,995,262,-59.3573,-71.0078,
-59.3573,-69.3401,-77.5,200,1000,263,-59.3573,-71.0078,
-59.3573,-69.3401,-61.5,201,1005,264,-59.3573,-71.0078,
-59.3573,-67.7424,-62,202,1010,266,-59.3573,-71.0078,
-59.3573,-69.3401,-71.5,203,1015,267,-59.3573,-71.0078,
-59.3573,-68.7892,-59,204,1020,268,-59.3573,-71.0078,
-59.3573,-68.9559,-66.5,205,1025,269,-59.3573,-71.0078,
-59.3573,-69.5827,-72,206,1030,271,-59.3573,-71.0078,
-59.3573,-75.2759,-71,207,1035,272,-59.3573,-71.0078,
-59.3573,-75.2759,-66,208,1040,273,-59.3573,-71.0078,
-59.3573,-75.2759,-67,209,1045,274,-59.3573,-71.0078,
-59.3573,-74.2126,-57,210,1050,276,-59.3573,-71.0078,
-59.3573,-75.2759,-62,211,1055,277,-59.3573,-71.0078,
-59.3573,-76.021,-55.5,212,1060,278,-59.3573,-71.0078,
-59.3573,-77.1415,-61.5,213,1065,279,-59.3573,-71.0078,
-59.3573,-78.0172,-66.5,214,1070,281,-89.8076,-71.0078,
-59.3573,-78.0172,-61,215,1075,282,-89.8076,-71.0078,
-59.3573,-78.3535,-65,216,1080,283,-89.8076,-71.0078,
-59.3573,-79.0572,-62,217,1085,284,-89.8076,-71.0078,
-59.3573,-77.7245,-61.5,218,1090,286,-89.8076,-89.8076,
