"omCrit","estCrit","obsCrit","trial","OvTrial","wind","CovOmCrit","OvOmCrit",
103.6955,101.8378,48.5,179,895,237,83.0112,93.3534,
103.6955,101.8378,85,180,900,238,83.0112,93.3534,
103.6955,110.0369,88,181,905,239,83.0112,93.3534,
103.6955,105.6473,61.5,182,910,241,83.0112,93.3534,
103.6955,110.0369,88.5,183,915,242,83.0112,116.5139,
103.6955,110.7188,82,184,920,243,83.0112,116.5139,
103.6955,110.0369,93.5,185,925,244,83.0112,116.5139,
103.6955,99.8827,89,186,930,246,83.0112,116.5139,
103.6955,97.5523,86,187,935,247,83.0112,116.5139,
103.6955,99.8827,100.5,188,940,248,83.0112,116.5139,
103.6955,101.8378,107,189,945,249,83.0112,116.5139,
103.6955,99.8827,138,190,950,251,83.0112,116.5139,
103.6955,99.8827,94.5,191,955,252,83.0112,116.5139,
103.6955,97.8331,25,192,960,253,83.0112,116.5139,
103.6955,99.8827,111.5,193,965,254,83.0112,116.5139,
103.6955,102.5582,108,194,970,256,83.0112,116.5139,
103.6955,101.8378,97.5,195,975,257,83.0112,116.5139,
103.6955,101.8378,87.5,196,980,258,83.0112,116.5139,
103.6955,95.7185,98,197,985,259,83.0112,116.5139,
103.6955,98.1389,110,198,990,261,83.0112,116.5139,
103.6955,98.1389,67.5,199,995,262,83.0112,116.5139,
83.0112,98.1389,142,200,1000,263,83.0112,116.5139,
83.0112,98.1389,87.5,201,1005,264,83.0112,116.5139,
83.0112,98.1389,95,202,1010,266,83.0112,116.5139,
83.0112,99.5284,44,203,1015,267,83.0112,103.6955,
83.0112,99.5284,93,204,1020,268,83.0112,103.6955,
83.0112,99.5284,126.5,205,1025,269,83.0112,103.6955,
83.0112,100.1695,97,206,1030,271,83.0112,103.6955,
83.0112,100.1695,75.5,207,1035,272,83.0112,103.6955,
83.0112,98.9996,105.5,208,1040,273,83.0112,103.6955,
83.0112,98.9996,100.5,209,1045,274,83.0112,103.6955,
83.0112,106.8021,95.5,210,1050,276,83.0112,103.6955,
83.0112,105.2634,95.5,211,1055,277,83.0112,103.6955,
83.0112,104.2498,70,212,1060,278,83.0112,103.6955,
83.0112,103.5593,106,213,1065,279,83.0112,103.6955,
83.0112,103.5593,88,214,1070,281,83.0112,103.6955,
83.0112,103.5593,98,215,1075,282,83.0112,103.6955,
83.0112,105.2634,100.5,216,1080,283,83.0112,103.6955,
83.0112,103.5593,114,217,1085,284,83.0112,103.6955,
83.0112,96.6885,67.5,218,1090,286,83.0112,103.6955,
83.0112,95.158,110,219,1095,287,83.0112,103.6955,
83.0112,96.6885,111,220,1100,288,83.0112,103.6955,
83.0112,103.5593,92,221,1105,289,83.0112,93.3534,
83.0112,104.2498,74.5,222,1110,291,83.0112,93.3534,
83.0112,96.6885,92.5,223,1115,292,83.0112,93.3534,
83.0112,96.3055,107,224,1120,293,83.0112,93.3534,
83.0112,93.3534,108,225,1125,294,83.0112,93.3534,
83.0112,92.5052,103.5,226,1130,296,83.0112,93.3534,
